numero_de_cliente,Predicted
4572266,0
4572285,0
4572379,0
4572571,0
4572624,0
4572759,0
4572819,0
4572850,0
4572919,1
4572988,0
4573051,0
4573083,0
4573246,0
4573642,0
4573764,0
4573849,0
4574141,0
4574264,0
4574368,0
4574562,0
4574597,0
4574685,0
4574820,0
4574861,0
4574905,0
4574964,1
4575213,0
4575401,0
4575542,1
4575681,0
4575740,0
4575750,0
4575753,0
4575784,0
4575863,0
4575904,0
4576070,0
4576099,1
4576143,0
4576334,0
4576498,0
4576598,0
4576702,1
4576768,0
4576834,0
4576843,0
4577308,0
4577663,0
4577789,0
4577999,0
4578059,0
4578115,0
4578197,0
4578247,0
4578404,0
4578822,0
4578898,0
4578913,0
4578970,0
4579005,0
4579209,0
4579495,0
4579737,0
4579809,0
4579960,0
4580057,0
4580117,0
4580280,0
4580509,0
4580534,0
4580569,0
4580877,0
4580908,0
4580911,0
4581216,0
4581235,0
4581295,0
4581320,0
4581383,0
4581521,0
4581546,0
4581615,0
4581763,1
4581870,0
4581936,0
4581964,0
4582451,0
4582498,0
4582642,1
4582859,0
4582982,0
4583013,0
4583035,0
4583588,0
4583670,0
4583849,0
4584273,0
4584716,0
4584794,0
4584820,0
4584879,0
4584930,0
4585121,0
4585344,0
4585482,1
4585649,0
4585856,0
4585859,0
4585976,0
4585991,0
4586064,0
4586287,0
4586372,0
4586460,0
4586469,0
4586595,0
4586830,0
4586846,0
4586981,0
4586987,0
4587085,0
4587129,0
4587204,0
4587587,0
4587612,0
4587634,0
4587726,0
4587779,0
4587782,0
4587848,0
4587876,0
4588040,0
4588103,0
4588118,0
4588134,0
4588156,0
4588213,0
4588231,0
4588429,1
4588492,0
4588549,0
4588687,1
4588992,0
4589739,0
4590343,0
4590452,0
4590550,0
4590660,0
4590713,0
4590748,0
4590807,0
4590943,0
4591301,0
4591354,0
4591423,0
4591452,0
4591750,0
4591772,0
4591907,0
4592039,0
4592136,0
4592168,0
4592369,0
4592513,0
4592564,0
4592705,1
4592711,0
4592771,0
4593003,0
4593261,0
4593283,0
4593421,0
4593475,0
4593582,0
4593688,0
4594002,0
4594153,0
4594178,0
4594467,0
4594565,0
4595199,0
4595294,0
4595331,0
4595799,0
4595809,0
4595847,0
4595881,1
4596283,0
4596528,0
4596604,0
4596613,0
4596689,0
4596736,0
4596827,0
4596990,1
4596993,0
4597307,0
4597361,0
4597373,1
4597399,0
4597411,0
4597461,0
4597788,0
4598385,0
4598404,0
4598668,0
4598693,0
4598907,0
4599104,0
4599450,0
4599507,0
4599544,0
4599730,0
4599830,0
4600056,0
4600107,0
4600226,0
4600361,0
4600389,0
4600499,0
4600590,0
4600927,0
4600933,0
4600949,0
4601159,0
4601633,0
4601765,0
4601894,0
4601922,0
4602070,0
4602089,1
4602359,0
4602422,0
4602441,0
4602566,0
4602636,0
4602705,1
4602840,0
4602953,0
4603097,0
4603151,0
4603204,0
4603575,0
4603688,0
4603782,0
4603933,0
4603964,0
4603971,0
4604304,0
4604329,0
4604612,0
4604731,0
4605070,0
4605253,0
4605334,0
4605472,0
4605494,0
4605708,0
4605780,0
4606038,0
4606085,0
4606201,0
4606258,0
4606613,0
4606720,0
4606886,0
4607024,0
4607028,0
4607222,0
4607675,0
4607722,0
4607728,0
4607769,0
4607778,0
4607838,0
4607939,0
4608020,0
4608033,0
4608356,0
4608501,0
4608504,0
4608677,0
4608853,0
4609421,0
4609616,0
4609754,0
4609780,0
4609871,0
4609927,0
4609940,0
4609955,0
4610100,0
4610153,0
4610414,0
4610584,0
4610606,0
4610716,0
4610841,0
4611152,0
4611200,0
4611222,0
4611341,0
4611369,0
4611979,0
4612038,0
4612158,0
4612183,0
4612239,0
4612365,0
4612403,0
4612406,0
4612415,0
4612434,0
4612544,0
4612572,0
4612629,0
4612890,0
4612997,0
4613053,0
4613059,0
4613088,0
4613135,0
4613317,0
4613333,0
4613358,0
4613408,0
4613418,0
4613449,0
4613477,0
4613509,0
4613650,0
4613948,0
4614153,0
4614200,0
4614225,0
4614307,0
4614354,0
4614489,0
4614558,0
4614633,1
4614712,0
4614947,0
4614954,0
4615183,0
4615237,0
4615265,0
4615268,0
4615390,0
4615645,0
4615830,0
4615953,0
4616075,0
4616122,0
4616220,0
4616421,0
4616477,0
4616521,0
4616562,0
4616647,0
4616666,0
4616726,0
4616782,0
4616836,0
4616920,0
4616946,0
4616999,0
4617046,0
4617147,0
4617175,0
4617203,0
4617502,0
4617665,0
4617772,0
4617819,0
4617913,0
4618111,0
4618136,0
4618284,0
4618372,0
4618388,0
4618620,0
4618849,0
4619270,0
4619427,0
4619723,0
4619848,1
4619858,0
4620263,0
4620310,0
4620423,0
4620467,0
4620552,0
4620816,0
4620926,0
4621014,0
4621171,0
4621231,0
4621796,0
4622076,0
4622289,0
4622670,0
4622692,0
4622710,0
4622739,0
4622745,1
4622823,0
4622955,0
4623282,0
4623310,0
4623521,0
4623584,0
4623838,0
4624061,0
4624093,0
4624096,0
4624171,0
4624262,0
4624485,0
4624727,0
4624825,0
4625403,0
4625459,0
4625544,0
4626496,0
4626842,0
4626895,0
4626917,0
4627156,0
4627159,0
4627567,0
4627658,0
4627696,0
4627822,0
4628189,0
4628415,0
4628739,0
4628836,0
4629283,0
4629437,0
4629945,0
4630128,0
4630140,0
4630187,0
4630304,0
4630395,0
4630486,0
4630621,0
4630765,0
4630778,0
4631064,0
4631328,0
4631362,0
4631541,0
4631793,0
4632050,0
4632107,0
4632126,0
4632141,0
4632386,0
4632654,0
4632669,0
4632716,0
4632993,0
4633012,0
4633018,0
4633574,0
4633756,0
4633916,0
4633989,0
4634023,0
4634161,0
4634287,0
4634460,0
4634538,0
4634674,0
4634834,0
4634843,0
4634928,0
4635120,0
4635154,0
4635173,0
4635355,0
4635443,0
4635657,0
4635720,1
4635792,0
4635820,0
4636285,0
4636335,0
4636395,0
4636518,0
4636562,0
4636741,0
4637001,0
4637008,0
4637023,0
4637127,0
4637130,0
4637231,0
4637375,0
4637451,0
4637523,0
4637664,1
4637677,0
4637727,0
4637771,0
4638088,0
4638242,0
4638302,0
4638334,0
4638513,0
4638952,0
4639069,0
4639163,0
4639650,0
4639735,0
4639779,0
4639788,0
4639951,0
4640212,0
4640228,0
4640297,0
4640332,0
4640416,0
4640467,0
4640567,1
4640705,0
4640866,0
4640903,0
4641202,0
4641324,0
4641444,0
4641516,0
4641538,0
4641626,0
4641755,0
4641912,0
4641915,1
4642031,0
4642380,0
4642496,0
4642609,0
4642842,0
4642939,0
4643143,0
4643307,0
4643335,1
4643963,0
4643979,0
4644249,0
4644290,0
4644570,0
4644802,1
4644859,0
4645107,0
4645144,0
4645217,0
4645254,0
4645258,0
4645462,0
4645638,0
4646140,0
4646150,0
4646222,0
4646253,0
4646731,0
4647121,1
4647158,0
4647670,0
4647736,0
4647988,0
4648022,0
4648094,0
4648509,0
4648962,0
4649194,0
4649514,0
4650014,0
4650055,0
4650124,0
4650297,0
4650334,0
4650375,0
4650677,0
4650715,0
4651157,0
4651233,1
4651283,0
4651704,0
4651886,0
4652354,0
4652458,0
4652508,0
4652527,1
4652549,0
4652559,0
4652728,0
4652744,0
4653020,0
4653156,0
4653256,0
4653316,0
4653357,0
4653482,0
4653536,0
4653561,0
4653803,0
4653856,0
4653997,0
4654283,0
4654334,0
4654412,0
4654714,0
4654726,0
4654761,0
4654767,0
4654890,0
4655110,0
4655201,0
4655345,0
4655348,0
4655408,0
4655741,0
4655989,0
4656046,0
4656052,0
4656074,0
4656184,0
4656253,0
4656347,0
4656360,0
4656366,0
4656423,0
4656429,0
4656482,0
4656577,0
4656583,0
4656646,0
4656925,0
4656991,0
4657073,0
4657170,0
4657255,0
4657428,0
4657441,0
4657582,0
4657849,0
4657912,0
4658063,0
4658088,0
4658094,0
4658286,0
4658298,0
4658452,0
4658650,0
4658678,0
4658754,0
4658776,0
4658785,0
4658999,0
4659049,0
4659200,0
4659297,0
4659593,0
4659646,0
4659831,0
4659847,0
4659923,1
4659945,0
4659951,0
4660240,1
4660312,0
4660340,0
4660504,0
4660554,0
4660573,0
4660629,0
4661069,0
4661380,0
4661471,0
4661496,0
4662140,0
4662213,0
4662678,0
4662697,0
4662954,0
4662964,0
4663322,0
4663347,0
4663432,0
4663865,0
4663931,0
4664047,0
4664073,0
4664245,0
4664494,0
4664503,0
4664836,0
4665100,0
4665138,0
4665172,0
4665920,0
4666074,0
4666228,0
4666366,1
4666429,0
4666482,0
4666488,0
4666558,0
4666617,1
4666649,0
4666696,0
4666715,0
4666859,0
4666865,0
4666906,0
4667060,0
4667230,0
4667293,0
4667302,0
4667359,0
4667374,0
4667390,0
4667566,0
4667890,0
4667905,0
4668040,0
4668298,0
4668326,0
4668499,0
4668509,0
4668763,0
4668901,0
4668989,0
4669021,0
4669052,0
4669335,0
4669344,0
4669426,0
4669473,0
4670425,0
4670497,0
4670547,0
4670843,0
4670852,0
4670915,0
4670924,0
4670953,0
4670959,0
4671006,0
4671110,1
4671345,0
4671389,0
4671414,0
4671562,0
4671716,0
4671735,0
4671785,0
4671804,0
4671895,0
4672307,0
4672530,0
4672608,0
4672696,0
4672731,0
4672769,0
4672850,0
4672938,0
4673189,0
4673444,0
4673566,0
4673636,0
4673783,0
4673887,0
4673890,0
4674126,0
4674195,0
4674245,0
4674286,0
4674412,0
4674443,0
4674616,0
4674754,0
4674823,0
4675034,0
4675046,0
4675062,0
4675232,0
4675257,0
4675367,0
4675461,1
4675857,0
4676284,0
4676331,0
4676479,0
4676564,0
4676774,0
4676815,0
4676846,0
4677506,0
4677739,0
4677786,0
4677984,0
4678175,0
4678185,0
4678203,0
4678753,0
4678860,0
4678923,0
4678945,0
4679071,0
4679331,0
4679488,0
4679677,0
4679699,0
4679768,0
4679787,0
4679843,0
4679865,0
4679894,0
4679925,0
4680142,0
4680233,0
4680333,0
4680443,0
4680600,0
4680651,0
4680739,0
4680789,0
4681056,0
4681147,0
4681160,0
4681163,0
4681364,0
4681662,0
4681665,1
4681681,1
4681703,0
4681823,0
4681945,0
4682118,0
4682190,0
4682492,0
4682507,0
4682555,0
4682570,0
4682724,0
4682743,0
4683107,0
4683164,0
4683283,0
4683368,0
4683409,0
4683469,0
4683513,0
4683664,0
4683795,0
4683805,1
4683887,0
4683934,1
4683978,0
4684216,0
4684411,0
4684546,0
4684678,0
4684691,0
4684779,0
4684810,0
4684955,0
4684974,0
4685156,0
4685159,0
4685162,0
4685228,0
4685329,0
4685417,0
4685564,0
4685577,0
4685630,0
4685960,0
4686054,0
4686202,0
4686299,0
4686384,0
4686438,0
4686500,0
4686544,0
4687060,0
4687075,0
4687459,0
4687490,1
4687609,0
4687625,0
4687788,0
4687876,0
4687942,0
4687999,0
4688049,0
4688090,0
4688332,0
4688338,0
4688345,0
4688370,0
4688429,0
4688533,0
4688577,0
4688586,0
4688841,0
4689051,0
4689064,0
4689124,0
4689186,0
4689366,0
4689435,0
4689585,0
4689661,0
4689683,0
4689852,0
4690094,0
4690327,0
4690584,0
4690610,0
4691191,0
4691354,0
4691386,0
4691461,0
4691499,0
4691511,0
4691540,0
4692353,0
4692699,0
4692765,0
4692859,0
4693142,0
4693154,0
4693233,0
4693409,0
4693421,1
4693503,0
4693648,0
4693701,0
4693742,1
4693943,0
4694112,0
4694229,0
4694273,0
4694439,0
4694838,0
4694951,0
4695052,0
4695165,0
4695218,0
4695765,0
4695787,0
4695809,0
4695853,0
4695862,0
4695869,0
4695928,0
4695991,0
4696001,0
4696142,0
4696161,0
4696183,0
4696239,1
4696318,0
4696324,0
4696340,0
4696343,0
4696356,0
4696409,0
4696563,0
4696654,0
4696689,0
4696695,0
4696723,0
4696808,1
4696846,0
4696962,0
4697006,0
4697037,0
4697069,0
4697072,0
4697254,1
4697342,1
4697505,0
4697703,0
4697722,0
4698014,0
4698112,0
4698328,0
4698398,0
4698517,1
4698599,0
4698850,0
4698903,0
4699092,0
4699233,1
4699324,0
4699576,0
4699805,0
4699921,0
4699928,0
4699950,0
4699953,0
4700003,0
4700103,0
4700226,0
4700534,0
4701071,0
4701128,0
4701322,0
4701382,0
4701414,0
4701618,0
4701674,0
4701753,0
4702026,0
4702045,0
4702051,0
4702146,0
4702196,0
4702243,0
4702695,0
4702821,0
4702994,0
4703006,0
4703069,0
4703104,0
4703192,0
4703415,0
4703515,0
4703653,0
4703820,0
4703836,0
4703864,0
4704178,0
4704285,0
4704464,0
4704596,0
4704662,0
4704960,0
4705017,0
4705055,0
4705400,0
4705554,0
4705702,0
4705787,0
4705915,0
4706029,0
4706223,0
