fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211023 231628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.0820823698968161	0.672014057873457	5987	473	0.0428108026554013	1	6916250
20211023 231722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	537	TRUE	0.0631285973370541	0.572397454848397	3576	771	0.041343961644203	2	6885000
20211023 231754	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	380	TRUE	0.0693788012699224	0.147667653305689	2913	660	0.0451745121705894	3	6463750
20211023 231814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0.0921422685927246	0.306985410272318	6490	315	0.0483512707034131	4	6490000
20211023 231842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	163	TRUE	0.0283860820031259	0.509222003050672	1439	390	0.0353592503185141	5	6127500
20211023 231854	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	0.0795843069138937	0.737563067884184	5107	891	0.0426766914772346	6	6286250
20211023 231925	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	259	TRUE	0.0712742909940425	0.891104239266133	2082	841	0.0469347213840274	7	7001250
20211023 232013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	522	TRUE	0.0509670628316235	0.479737326171016	4727	586	0.0434059210085161	8	6927500
20211023 232057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	509	TRUE	0.0476566922687925	0.352524339826778	4518	145	0.0430454972171931	9	6981250
20211023 232138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	371	TRUE	0.0408780687954277	0.872187180095352	2442	350	0.0420480453295782	10	6580000
20211023 232214	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0577629631303716	0.162177805621468	438	266	0.0450571648896936	11	6881250
20211023 232238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	282	TRUE	0.0957760952634271	0.795094242622145	7343	171	0.0412852880037551	12	6393750
20211023 232342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	355	TRUE	0.0231125493394211	0.615253202131134	886	989	0.037639140347348	13	6987500
20211023 232411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	0.0335041826113593	0.238316976286296	6856	938	0.0453086233487561	14	6593750
20211023 232430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0385204909509048	0.947785465723427	7794	556	0.0475466036344129	15	6660000
20211023 232453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	226	TRUE	0.0888507447449956	0.383308048355684	3955	709	0.034797659759941	16	6261250
20211023 232511	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	137	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0386282102863274	17	5840000
20211023 232537	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	246	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0400950512975256	18	6721250
20211023 232630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	659	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0381504392141085	19	6561250
