semilla	subsamping	oficial	meseta	ganancia_Public	ganancia_Private
999983	1	1	6412	18820833.3333333	17555357.1428571
999983	1	0	5000	16350000	15207142.8571429
999983	1	0	5500	16904166.6666667	15791071.4285714
999983	1	0	6000	17800000	16942857.1428571
999983	1	0	6500	19325000	17467857.1428571
999983	1	0	7000	19604166.6666667	17955357.1428571
999983	1	0	7500	19991666.6666667	18396428.5714286
999983	1	0	8000	19970833.3333333	18655357.1428571
999983	1	0	8500	21479166.6666667	19401785.7142857
999983	1	0	9000	22225000	19475000
999983	1	0	9500	22416666.6666667	19357142.8571429
999983	1	0	10000	22762500	19958928.5714286
999983	1	0	10500	22900000	20435714.2857143
999983	1	0	11000	22825000	20646428.5714286
999983	1	0	11500	23191666.6666667	20953571.4285714
999983	1	0	12000	23079166.6666667	21466071.4285714
999983	1	0	12500	23087500	21641071.4285714
999983	1	0	13000	22650000	21721428.5714286
999983	1	0	13500	22700000	21664285.7142857
999983	1	0	14000	22404166.6666667	21826785.7142857
999983	1	0	14500	21912500	21501785.7142857
999983	1	0	15000	21341666.6666667	21210714.2857143
999983	1	0	15500	21566666.6666667	21221428.5714286
999983	1	0	16000	21212500	20694642.8571429
999983	1	0	16500	21083333.3333333	20285714.2857143
999983	1	0	17000	20504166.6666667	19998214.2857143
999983	1	0	17500	19941666.6666667	19703571.4285714
999983	1	0	18000	19733333.3333333	19614285.7142857
999983	1	0	18500	19170833.3333333	19319642.8571429
999983	1	0	19000	19295833.3333333	18944642.8571429
999983	1	0	19500	18854166.6666667	18812500
999983	1	0	20000	18537500	18555357.1428571
378821	1	1	6412	17133333.3333333	17421428.5714286
378821	1	0	5000	16100000	15671428.5714286
378821	1	0	5500	15666666.6666667	16321428.5714286
378821	1	0	6000	16008333.3333333	16782142.8571429
378821	1	0	6500	17470833.3333333	17619642.8571429
378821	1	0	7000	18704166.6666667	18412500
378821	1	0	7500	19929166.6666667	18851785.7142857
378821	1	0	8000	21258333.3333333	19175000
378821	1	0	8500	21487500	19541071.4285714
378821	1	0	9000	21366666.6666667	19914285.7142857
378821	1	0	9500	21879166.6666667	20801785.7142857
378821	1	0	10000	21991666.6666667	20860714.2857143
378821	1	0	10500	22204166.6666667	20805357.1428571
378821	1	0	11000	22195833.3333333	20987500
378821	1	0	11500	22408333.3333333	20932142.8571429
378821	1	0	12000	22337500	20641071.4285714
378821	1	0	12500	22508333.3333333	20460714.2857143
378821	1	0	13000	22541666.6666667	20410714.2857143
378821	1	0	13500	22658333.3333333	20396428.5714286
378821	1	0	14000	22541666.6666667	20482142.8571429
378821	1	0	14500	22200000	20664285.7142857
378821	1	0	15000	21825000	20503571.4285714
378821	1	0	15500	21408333.3333333	20503571.4285714
378821	1	0	16000	21116666.6666667	20521428.5714286
378821	1	0	16500	21045833.3333333	20444642.8571429
378821	1	0	17000	21029166.6666667	20416071.4285714
378821	1	0	17500	2.1e+07	20035714.2857143
378821	1	0	18000	21175000	20139285.7142857
378821	1	0	18500	20562500	20008928.5714286
