semilla	subsamping	oficial	meseta	ganancia
999983	1	1	11005	13593750
999983	1	0	5000	12100000
999983	1	0	5500	12325000
999983	1	0	6000	13150000
999983	1	0	6500	13375000
999983	1	0	7000	13600000
999983	1	0	7500	13775000
999983	1	0	8000	13650000
999983	1	0	8500	13625000
999983	1	0	9000	13750000
999983	1	0	9500	13775000
999983	1	0	10000	13600000
999983	1	0	10500	13625000
999983	1	0	11000	13600000
999983	1	0	11500	13475000
999983	1	0	12000	13300000
999983	1	0	12500	12975000
999983	1	0	13000	13050000
999983	1	0	13500	12725000
999983	1	0	14000	12500000
999983	1	0	14500	12625000
999983	1	0	15000	12250000
378821	1	1	11005	12893750
378821	1	0	5000	11750000
378821	1	0	5500	12125000
378821	1	0	6000	12150000
378821	1	0	6500	12325000
378821	1	0	7000	12300000
378821	1	0	7500	12575000
378821	1	0	8000	12850000
378821	1	0	8500	13025000
378821	1	0	9000	13150000
378821	1	0	9500	12975000
378821	1	0	10000	13300000
378821	1	0	10500	13325000
378821	1	0	11000	12900000
378821	1	0	11500	12975000
378821	1	0	12000	13100000
378821	1	0	12500	13125000
378821	1	0	13000	12900000
378821	1	0	13500	12675000
378821	1	0	14000	12450000
378821	1	0	14500	12225000
378821	1	0	15000	12250000
964333	1	1	11005	13043750
964333	1	0	5000	11050000
964333	1	0	5500	11075000
964333	1	0	6000	11450000
964333	1	0	6500	12075000
964333	1	0	7000	12400000
964333	1	0	7500	12725000
964333	1	0	8000	1.3e+07
964333	1	0	8500	13275000
964333	1	0	9000	13050000
964333	1	0	9500	13175000
964333	1	0	10000	13450000
964333	1	0	10500	13175000
964333	1	0	11000	13050000
964333	1	0	11500	13075000
964333	1	0	12000	1.3e+07
964333	1	0	12500	12775000
964333	1	0	13000	12650000
964333	1	0	13500	12425000
964333	1	0	14000	12300000
964333	1	0	14500	12225000
964333	1	0	15000	11950000
187049	1	1	11005	12693750
187049	1	0	5000	11500000
187049	1	0	5500	11925000
187049	1	0	6000	11950000
187049	1	0	6500	12275000
187049	1	0	7000	12550000
187049	1	0	7500	12725000
187049	1	0	8000	12650000
187049	1	0	8500	12625000
187049	1	0	9000	1.3e+07
187049	1	0	9500	13175000
187049	1	0	10000	13100000
187049	1	0	10500	12925000
187049	1	0	11000	12700000
187049	1	0	11500	12775000
187049	1	0	12000	12750000
187049	1	0	12500	12925000
187049	1	0	13000	12500000
187049	1	0	13500	12475000
187049	1	0	14000	12350000
187049	1	0	14500	12225000
187049	1	0	15000	12200000
205151	1	1	11005	13693750
205151	1	0	5000	11500000
205151	1	0	5500	11775000
205151	1	0	6000	11900000
205151	1	0	6500	12375000
205151	1	0	7000	12950000
205151	1	0	7500	12975000
205151	1	0	8000	1.3e+07
205151	1	0	8500	13325000
205151	1	0	9000	13450000
205151	1	0	9500	13425000
